R [20260828 194359][14.074] W0SS K8OD EN74 -2 1056
R [20260828 194359][14.074] AD6DL KC7WDL CN87 19 2119
R [20260828 194359][14.074] RI1FJL VE3OP FN25 4 1350
T [20260828 194400][14.074] CQ N6HAN CM87 2330
R [20260828 194427][14.074] CQ W7KR DN17 -7 1562
R [20260828 194428][14.074] Z62NS K0SH EN23 5 1862
R [20260828 194428][14.074] W0SS K8OD R+27 22 1056
R [20260828 194428][14.074] CQ W0ADE DN40 30 838
R [20260828 194428][14.074] CQ K4YT FM19 17 2731
R [20260828 194428][14.074] AD6DL KK7MEH R-02 14 1769
R [20260828 194428][14.074] N9MSG AI5OS EM10 18 1494
R [20260828 194429][14.074] NO0X KI7DAN DN40 -2 2388
R [20260828 194429][14.074] N8DPD K0DTM -19 -6 2194
T [20260828 194430][14.074] CQ N6HAN CM87 1324
R [20260828 194457][14.074] CQ W0ADE DN40 9 838
R [20260828 194457][14.074] W6NUC K0SH -10 -10 1862
R [20260828 194458][14.074] CQ W7KR DN17 0 1556
R [20260828 194458][14.074] Z62NS AE5FM EM13 10 700
R [20260828 194458][14.074] NO0X KI7DAN DN40 4 2388
R [20260828 194458][14.074] CQ K4YT FM19 0 2731
R [20260828 194458][14.074] N8DPD K0DTM -19 4 2194
R [20260828 194458][14.074] CQ K1AF EM28 5 2319
R [20260828 194458][14.074] VA7GEM N0RC R-12 -5 2506
R [20260828 194458][14.074] W0SS K8OD 73 -6 1056
R [20260828 194458][14.074] AD6DL KK7MEH 73 28 1769
R [20260828 194459][14.074] K4WSP KE4PLU EM58 -1 1312
R [20260828 194459][14.074] N8JKD KE0SOR DN70 1 1388
T [20260828 194500][14.074] CQ N6HAN CM87 2415
R [20260828 194527][14.074] CQ K4YT FM19 2 2731
R [20260828 194528][14.074] KB9ZM W7KR -04 4 1562
R [20260828 194528][14.074] W6NUC K0SH RR73 2 1862
R [20260828 194528][14.074] N8DPD K0DTM -19 0 2194
R [20260828 194528][14.074] CQ W0ADE DN40 13 838
R [20260828 194528][14.074] N5FMP KK7MEH CN87 14 1769
R [20260828 194528][14.074] CQ K1AF EM28 0 2312
R [20260828 194528][14.074] VE3NYZ KI5YNZ RR73 -2 1012
R [20260828 194529][14.074] VA7GEM N0RC 73 -2 2506
R [20260828 194529][14.074] CQ W1AW/2 -6 519
T [20260828 194530][14.074] CQ N6HAN CM87 1453
T [20260828 194600][14.074] CQ POTA N6HAN CM87 901
R [20260828 194627][14.074] N8DPD K0DTM -19 8 2194
